date,xejVolatility,cloudCover
2019-12-31,185.7001953125,24
2020-01-02,82.7001953125,2
2020-01-03,225.900390625,32
2020-01-06,177.1005859375,5
2020-01-07,171.2998046875,0
2020-01-08,177.2998046875,1
2020-01-09,139.900390625,44
2020-01-10,139.900390625,88
2020-01-13,173.3994140625,0
2020-01-14,121.8994140625,0
2020-01-15,96.2001953125,32
2020-01-16,93.5,36
2020-01-17,125.5,0
2020-01-20,77.30078125,46
2020-01-21,145.2998046875,37
2020-01-22,193.0,91
2020-01-23,251.7998046875,78
2020-01-24,66.19921875,64
2020-01-28,96.400390625,35
2020-01-29,117.2998046875,2
2020-01-30,0.0,15
2020-01-31,106.400390625,85
2020-02-03,473.3994140625,63
2020-02-04,178.80078125,0
2020-02-05,0.0,0
2020-02-06,111.3994140625,2
2020-02-07,209.599609375,25
2020-02-10,182.2001953125,4
2020-02-11,25.900390625,12
2020-02-12,87.19921875,85
2020-02-13,0.0,29
2020-02-14,140.2001953125,76
2020-02-17,96.0,12
2020-02-18,122.900390625,54
2020-02-19,136.5,46
2020-02-20,136.5,77
2020-02-21,136.8994140625,4
2020-02-24,0.0,28
2020-02-25,315.7998046875,15
2020-02-26,276.7998046875,52
2020-02-27,260.400390625,92
2020-02-28,414.400390625,47
2020-03-02,420.2998046875,42
2020-03-03,187.80078125,91
2020-03-04,270.599609375,54
2020-03-05,175.19921875,57
2020-03-06,282.19921875,62
2020-03-09,1817.7998046875,64
2020-03-10,849.39990234375,36
2020-03-11,480.10009765625,38
2020-03-12,757.2998046875,62
2020-03-13,1220.599609375,62
2020-03-16,970.599609375,62
2020-03-17,448.39990234375,76
2020-03-18,666.0,27
2020-03-19,454.7998046875,35
2020-03-20,453.19970703125,40
2020-03-23,456.80029296875,66
2020-03-24,383.19970703125,92
2020-03-25,419.2001953125,15
2020-03-26,359.60009765625,42
2020-03-27,561.30029296875,60
2020-03-30,324.7001953125,31
2020-03-31,357.30029296875,17
2020-04-01,548.0,79
2020-04-02,322.69970703125,37
2020-04-03,645.89990234375,48
2020-04-06,389.7998046875,67
2020-04-07,318.7998046875,72
2020-04-08,184.60009765625,18
2020-04-09,257.89990234375,0
2020-04-14,197.39990234375,56
2020-04-15,271.60009765625,95
2020-04-16,206.7998046875,40
2020-04-17,173.19970703125,71
2020-04-20,312.60009765625,80
2020-04-21,199.39990234375,18
2020-04-22,282.0,32
2020-04-23,197.7001953125,83
2020-04-24,198.10009765625,41
2020-04-27,111.60009765625,19
2020-04-28,140.39990234375,93
