date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2022-03-17,107.1005859375,6,0,Normal Volatility,0.4978821672652597,0.49668904230207234,0.005428790432631081,0.7231143241492058
2022-03-18,268.099609375,17,0,Normal Volatility,0.0015356454838804756,0.9940837344942577,0.004380620022058012,0.03963711842582848
2022-03-21,168.7998046875,50,0,Normal Volatility,0.1607964319524688,0.8287488662262632,0.01045470182093848,0.49722556159710385
2022-03-22,295.7998046875,79,0,Normal Volatility,8.966579767910074e-05,0.9760999488417316,0.023810385360698752,0.11344226774221967
2022-03-23,90.400390625,94,0,Normal Volatility,0.3634982381403699,0.6179671916871946,0.018534570172141968,0.7392112080657413
2022-03-24,235.7998046875,16,0,Normal Volatility,0.04086646058845902,0.9572531815314763,0.0018803578796695703,0.18428983050775719
2022-03-25,164.8994140625,9,1,Low Volatility,0.5390910937537309,0.46063139413601684,0.00027751211055409956,0.6924230383304372
2022-03-28,86.8994140625,22,1,Low Volatility,0.7789795230986529,0.22037524003663475,0.0006452368648387974,0.5326066639139462
2022-03-29,185.0,30,1,Low Volatility,0.5213593131456286,0.47763710332573767,0.00100358352821636,0.6994264670089383
2022-03-30,147.0,60,1,Low Volatility,0.5023028179005951,0.4943680306079943,0.0033291514915061516,0.7131245415354639
2022-03-31,280.2998046875,40,0,Normal Volatility,0.0006307590454913947,0.9947236002878657,0.004645640666651062,0.03486583091069549
2022-04-01,185.400390625,11,0,Normal Volatility,0.2644865028403672,0.7348022580591966,0.0007112391000050381,0.5833453717768797
2022-04-04,103.099609375,11,0,Normal Volatility,0.5724759749429174,0.42658937463692764,0.0009346504199022893,0.6892634614661899
2022-04-05,272.900390625,62,0,Normal Volatility,0.0030268284959107496,0.9942212232500629,0.002751948253743412,0.03954234157315378
2022-04-06,142.5,55,1,Low Volatility,0.6659450077387058,0.33317519107392146,0.0008798011873365002,0.6431173147217972
2022-04-07,136.2001953125,13,1,Low Volatility,0.8409381934844795,0.1588950830500939,0.00016672346571984037,0.43942133851746507
2022-04-08,156.2001953125,12,1,Low Volatility,0.7755431635417149,0.22423656747382728,0.00022026898451705368,0.5342371035791557
2022-04-11,182.2001953125,93,1,Low Volatility,0.5850171900215749,0.41330890429279493,0.0016739056857487686,0.6895197568009912
2022-04-12,163.2001953125,98,1,Low Volatility,0.6174247401889973,0.38055536218956115,0.0020198976212307887,0.6779174318185427
2022-04-13,185.2001953125,35,1,Low Volatility,0.5573441840863397,0.4418602152820072,0.0007956006312361269,0.6923802107628217
2022-04-14,147.0,100,1,Low Volatility,0.7639305954957005,0.2347522839675755,0.0013171205364717051,0.554654254239134
2022-04-19,155.2998046875,38,1,Low Volatility,0.8051727917225739,0.19279685019662252,0.002030358080372597,0.5044333397907276
2022-04-20,129.7998046875,62,1,Low Volatility,0.8043573858503343,0.18474376167534307,0.010898852474459422,0.5363634957790913
2022-04-21,150.2001953125,58,1,Low Volatility,0.5545805995672908,0.3888596504150303,0.05655975001748979,0.8567069176172392
2022-04-22,265.2001953125,49,0,Normal Volatility,0.0005970035770319546,0.6631871361153444,0.33621586030718026,0.6432775076011787
2022-04-26,503.69921875,84,2,High Volatility,9.140594691962871e-22,0.0409533159101316,0.9590466840901729,0.1709620925654142
2022-04-27,131.2001953125,96,0,Normal Volatility,0.016162806437983724,0.5449293660930744,0.43890782746909185,0.7589239967598391
2022-04-28,213.900390625,60,0,Normal Volatility,0.03801013494155664,0.8379754728637516,0.12401439219489992,0.531277771472342
2022-04-29,149.5,94,1,Low Volatility,0.40295067522763567,0.5542899637371675,0.04275936103549364,0.8281114884001266
2022-05-02,191.2001953125,16,1,Low Volatility,0.4060691755743785,0.5900053915415707,0.003925432883702756,0.6990111970047451
2022-05-03,85.599609375,18,1,Low Volatility,0.7322577809023069,0.2635520396547941,0.004190179443319944,0.6025772185457415
2022-05-04,167.6005859375,57,1,Low Volatility,0.4814285658073142,0.5010690816829922,0.01750235250984744,0.7689718017044676
2022-05-05,202.099609375,60,0,Normal Volatility,0.10335224055894349,0.8199382895696689,0.07670946987155139,0.5943179648489901
2022-05-06,304.099609375,44,0,Normal Volatility,1.2517701460357662e-05,0.7533111612446658,0.24667632105344123,0.5588044403644545
2022-05-09,134.599609375,74,0,Normal Volatility,0.14716126331620408,0.426123227430538,0.42671550925297336,1.0088958048241647
2022-05-10,458.6005859375,35,2,High Volatility,8.825874104481782e-17,0.1681768837521752,0.8318231162480089,0.45298361852533153
2022-05-11,122.900390625,44,2,High Volatility,0.06172039444062849,0.23774903157774036,0.7005305739812538,0.7627668315004632
2022-05-12,356.30078125,86,2,High Volatility,4.319299986830026e-09,0.312355589927249,0.6876444057534425,0.620972550725085
2022-05-13,267.0,92,0,Normal Volatility,0.000130244278555101,0.583692385882458,0.4161773698390166,0.6802534545611536
2022-05-16,198.7001953125,59,0,Normal Volatility,0.03098899977323385,0.8077738848268139,0.16123711539968213,0.5743358589485553
2022-05-17,222.099609375,73,0,Normal Volatility,0.03349905491783518,0.9113350505346017,0.05516589454725001,0.358221598363055
